"subject","item","target_response","sentence_type","seen_in_training","data_source","mask_added_tokens","stop_at","response","log.RT","correct","voice","model_id","linear","mean_cossim_to_targets","f.score.pre.training","seen_in_training.n","target_response.n","data_source.n","voice.n","linear.n","RT"
"294","101","Object target","perfect transitive","Unseen","BERT","Don't mask blork","convergence","[obj]",NA,TRUE,"SVO active","2022-10-04_22-44-23.037544-b","Non-linear",0.0401526360462109,0.463636363636364,-0.5,0.5,-0.5,0.5,0.5,NA
"294","102","Object target","raising perfect transitive","Unseen","BERT","Don't mask blork","convergence","[subj]",NA,FALSE,"SVO active","2022-10-04_22-44-23.037544-b","Non-linear",0.0401526360462109,0.463636363636364,-0.5,0.5,-0.5,0.5,0.5,NA
"294","103","Object target","cleft subject perfect transitive","Unseen","BERT","Don't mask blork","convergence","[obj]",NA,TRUE,"SVO active","2022-10-04_22-44-23.037544-b","Non-linear",0.0401526360462109,0.463636363636364,-0.5,0.5,-0.5,0.5,0.5,NA
"294","104","Object target","neg perfect transitive","Unseen","BERT","Don't mask blork","convergence","[obj]",NA,TRUE,"SVO active","2022-10-04_22-44-23.037544-b","Non-linear",0.0401526360462109,0.463636363636364,-0.5,0.5,-0.5,0.5,0.5,NA
"294","105","Object target","cleft subject raising perfect transitive","Unseen","BERT","Don't mask blork","convergence","[obj]",NA,TRUE,"SVO active","2022-10-04_22-44-23.037544-b","Non-linear",0.0401526360462109,0.463636363636364,-0.5,0.5,-0.5,0.5,0.5,NA
"294","106","Object target","perfect passive","Unseen","BERT","Don't mask blork","convergence","[obj]",NA,TRUE,"OVS passive","2022-10-04_22-44-23.037544-b","Non-linear",0.0401526360462109,0.630225080385852,-0.5,0.5,-0.5,-0.5,0.5,NA
"294","107","Object target","raising perfect passive","Unseen","BERT","Don't mask blork","convergence","[obj]",NA,TRUE,"OVS passive","2022-10-04_22-44-23.037544-b","Non-linear",0.0401526360462109,0.630225080385852,-0.5,0.5,-0.5,-0.5,0.5,NA
"294","108","Object target","cleft subject perfect passive","Unseen","BERT","Don't mask blork","convergence","[obj]",NA,TRUE,"OVS passive","2022-10-04_22-44-23.037544-b","Non-linear",0.0401526360462109,0.630225080385852,-0.5,0.5,-0.5,-0.5,0.5,NA
"294","109","Object target","neg perfect passive","Unseen","BERT","Don't mask blork","convergence","[obj]",NA,TRUE,"OVS passive","2022-10-04_22-44-23.037544-b","Non-linear",0.0401526360462109,0.630225080385852,-0.5,0.5,-0.5,-0.5,0.5,NA
"294","110","Object target","cleft subject raising perfect passive","Unseen","BERT","Don't mask blork","convergence","[obj]",NA,TRUE,"OVS passive","2022-10-04_22-44-23.037544-b","Non-linear",0.0401526360462109,0.630225080385852,-0.5,0.5,-0.5,-0.5,0.5,NA
"294","111","Object target","perfect transitive","Unseen","BERT","Don't mask blork","convergence","[obj]",NA,TRUE,"SVO active","2022-10-04_22-44-23.037544-b","Non-linear",0.0401526360462109,0.463636363636364,-0.5,0.5,-0.5,0.5,0.5,NA
"294","112","Object target","raising perfect transitive","Unseen","BERT","Don't mask blork","convergence","[obj]",NA,TRUE,"SVO active","2022-10-04_22-44-23.037544-b","Non-linear",0.0401526360462109,0.463636363636364,-0.5,0.5,-0.5,0.5,0.5,NA
"294","113","Object target","cleft subject perfect transitive","Unseen","BERT","Don't mask blork","convergence","[obj]",NA,TRUE,"SVO active","2022-10-04_22-44-23.037544-b","Non-linear",0.0401526360462109,0.463636363636364,-0.5,0.5,-0.5,0.5,0.5,NA
"294","114","Object target","neg perfect transitive","Unseen","BERT","Don't mask blork","convergence","[obj]",NA,TRUE,"SVO active","2022-10-04_22-44-23.037544-b","Non-linear",0.0401526360462109,0.463636363636364,-0.5,0.5,-0.5,0.5,0.5,NA
"294","115","Object target","cleft subject raising perfect transitive","Unseen","BERT","Don't mask blork","convergence","[obj]",NA,TRUE,"SVO active","2022-10-04_22-44-23.037544-b","Non-linear",0.0401526360462109,0.463636363636364,-0.5,0.5,-0.5,0.5,0.5,NA
"294","116","Object target","perfect passive","Unseen","BERT","Don't mask blork","convergence","[obj]",NA,TRUE,"OVS passive","2022-10-04_22-44-23.037544-b","Non-linear",0.0401526360462109,0.630225080385852,-0.5,0.5,-0.5,-0.5,0.5,NA
"294","117","Object target","raising perfect passive","Unseen","BERT","Don't mask blork","convergence","[obj]",NA,TRUE,"OVS passive","2022-10-04_22-44-23.037544-b","Non-linear",0.0401526360462109,0.630225080385852,-0.5,0.5,-0.5,-0.5,0.5,NA
"294","118","Object target","cleft subject perfect passive","Unseen","BERT","Don't mask blork","convergence","[obj]",NA,TRUE,"OVS passive","2022-10-04_22-44-23.037544-b","Non-linear",0.0401526360462109,0.630225080385852,-0.5,0.5,-0.5,-0.5,0.5,NA
"294","119","Object target","neg perfect passive","Unseen","BERT","Don't mask blork","convergence","[obj]",NA,TRUE,"OVS passive","2022-10-04_22-44-23.037544-b","Non-linear",0.0401526360462109,0.630225080385852,-0.5,0.5,-0.5,-0.5,0.5,NA
"294","120","Object target","cleft subject raising perfect passive","Unseen","BERT","Don't mask blork","convergence","[obj]",NA,TRUE,"OVS passive","2022-10-04_22-44-23.037544-b","Non-linear",0.0401526360462109,0.630225080385852,-0.5,0.5,-0.5,-0.5,0.5,NA
"295","1","Subject target","perfect transitive","Seen","BERT","Don't mask blork","convergence","[subj]",NA,TRUE,"SVO active","2022-10-04_22-46-56.240364-b","Non-linear",0.0336079731997516,0.479338842975207,0.5,-0.5,-0.5,0.5,0.5,NA
"295","2","Subject target","raising perfect transitive","Seen","BERT","Don't mask blork","convergence","[subj]",NA,TRUE,"SVO active","2022-10-04_22-46-56.240364-b","Non-linear",0.0336079731997516,0.479338842975207,0.5,-0.5,-0.5,0.5,0.5,NA
"295","3","Subject target","cleft subject perfect transitive","Seen","BERT","Don't mask blork","convergence","[subj]",NA,TRUE,"SVO active","2022-10-04_22-46-56.240364-b","Non-linear",0.0336079731997516,0.479338842975207,0.5,-0.5,-0.5,0.5,0.5,NA
"295","4","Subject target","neg perfect transitive","Seen","BERT","Don't mask blork","convergence","[subj]",NA,TRUE,"SVO active","2022-10-04_22-46-56.240364-b","Non-linear",0.0336079731997516,0.479338842975207,0.5,-0.5,-0.5,0.5,0.5,NA
"295","5","Subject target","cleft subject raising perfect transitive","Seen","BERT","Don't mask blork","convergence","[subj]",NA,TRUE,"SVO active","2022-10-04_22-46-56.240364-b","Non-linear",0.0336079731997516,0.479338842975207,0.5,-0.5,-0.5,0.5,0.5,NA
"295","6","Subject target","perfect passive","Seen","BERT","Don't mask blork","convergence","[obj]",NA,FALSE,"OVS passive","2022-10-04_22-46-56.240364-b","Non-linear",0.0336079731997516,0.0704225352112676,0.5,-0.5,-0.5,-0.5,0.5,NA
"295","7","Subject target","raising perfect passive","Seen","BERT","Don't mask blork","convergence","[obj]",NA,FALSE,"OVS passive","2022-10-04_22-46-56.240364-b","Non-linear",0.0336079731997516,0.0704225352112676,0.5,-0.5,-0.5,-0.5,0.5,NA
"295","8","Subject target","cleft subject perfect passive","Seen","BERT","Don't mask blork","convergence","[obj]",NA,FALSE,"OVS passive","2022-10-04_22-46-56.240364-b","Non-linear",0.0336079731997516,0.0704225352112676,0.5,-0.5,-0.5,-0.5,0.5,NA
"295","9","Subject target","neg perfect passive","Seen","BERT","Don't mask blork","convergence","[obj]",NA,FALSE,"OVS passive","2022-10-04_22-46-56.240364-b","Non-linear",0.0336079731997516,0.0704225352112676,0.5,-0.5,-0.5,-0.5,0.5,NA
"295","10","Subject target","cleft subject raising perfect passive","Seen","BERT","Don't mask blork","convergence","[obj]",NA,FALSE,"OVS passive","2022-10-04_22-46-56.240364-b","Non-linear",0.0336079731997516,0.0704225352112676,0.5,-0.5,-0.5,-0.5,0.5,NA
"295","11","Subject target","perfect transitive","Seen","BERT","Don't mask blork","convergence","[subj]",NA,TRUE,"SVO active","2022-10-04_22-46-56.240364-b","Non-linear",0.0336079731997516,0.479338842975207,0.5,-0.5,-0.5,0.5,0.5,NA
"295","12","Subject target","raising perfect transitive","Seen","BERT","Don't mask blork","convergence","[subj]",NA,TRUE,"SVO active","2022-10-04_22-46-56.240364-b","Non-linear",0.0336079731997516,0.479338842975207,0.5,-0.5,-0.5,0.5,0.5,NA
"295","13","Subject target","cleft subject perfect transitive","Seen","BERT","Don't mask blork","convergence","[subj]",NA,TRUE,"SVO active","2022-10-04_22-46-56.240364-b","Non-linear",0.0336079731997516,0.479338842975207,0.5,-0.5,-0.5,0.5,0.5,NA
"295","14","Subject target","neg perfect transitive","Seen","BERT","Don't mask blork","convergence","[subj]",NA,TRUE,"SVO active","2022-10-04_22-46-56.240364-b","Non-linear",0.0336079731997516,0.479338842975207,0.5,-0.5,-0.5,0.5,0.5,NA
"295","15","Subject target","cleft subject raising perfect transitive","Seen","BERT","Don't mask blork","convergence","[subj]",NA,TRUE,"SVO active","2022-10-04_22-46-56.240364-b","Non-linear",0.0336079731997516,0.479338842975207,0.5,-0.5,-0.5,0.5,0.5,NA
"295","16","Subject target","perfect passive","Seen","BERT","Don't mask blork","convergence","[subj]",NA,TRUE,"OVS passive","2022-10-04_22-46-56.240364-b","Non-linear",0.0336079731997516,0.0704225352112676,0.5,-0.5,-0.5,-0.5,0.5,NA
"295","17","Subject target","raising perfect passive","Seen","BERT","Don't mask blork","convergence","[obj]",NA,FALSE,"OVS passive","2022-10-04_22-46-56.240364-b","Non-linear",0.0336079731997516,0.0704225352112676,0.5,-0.5,-0.5,-0.5,0.5,NA
"295","18","Subject target","cleft subject perfect passive","Seen","BERT","Don't mask blork","convergence","[subj]",NA,TRUE,"OVS passive","2022-10-04_22-46-56.240364-b","Non-linear",0.0336079731997516,0.0704225352112676,0.5,-0.5,-0.5,-0.5,0.5,NA
"295","19","Subject target","neg perfect passive","Seen","BERT","Don't mask blork","convergence","[obj]",NA,FALSE,"OVS passive","2022-10-04_22-46-56.240364-b","Non-linear",0.0336079731997516,0.0704225352112676,0.5,-0.5,-0.5,-0.5,0.5,NA
"295","20","Subject target","cleft subject raising perfect passive","Seen","BERT","Don't mask blork","convergence","[subj]",NA,TRUE,"OVS passive","2022-10-04_22-46-56.240364-b","Non-linear",0.0336079731997516,0.0704225352112676,0.5,-0.5,-0.5,-0.5,0.5,NA
"295","21","Subject target","perfect transitive","Seen","BERT","Don't mask blork","convergence","[subj]",NA,TRUE,"SVO active","2022-10-04_22-46-56.240364-b","Non-linear",0.0336079731997516,0.479338842975207,0.5,-0.5,-0.5,0.5,0.5,NA
"295","22","Subject target","raising perfect transitive","Seen","BERT","Don't mask blork","convergence","[subj]",NA,TRUE,"SVO active","2022-10-04_22-46-56.240364-b","Non-linear",0.0336079731997516,0.479338842975207,0.5,-0.5,-0.5,0.5,0.5,NA
"295","23","Subject target","cleft subject perfect transitive","Seen","BERT","Don't mask blork","convergence","[subj]",NA,TRUE,"SVO active","2022-10-04_22-46-56.240364-b","Non-linear",0.0336079731997516,0.479338842975207,0.5,-0.5,-0.5,0.5,0.5,NA
"295","24","Subject target","neg perfect transitive","Seen","BERT","Don't mask blork","convergence","[subj]",NA,TRUE,"SVO active","2022-10-04_22-46-56.240364-b","Non-linear",0.0336079731997516,0.479338842975207,0.5,-0.5,-0.5,0.5,0.5,NA
"295","25","Subject target","cleft subject raising perfect transitive","Seen","BERT","Don't mask blork","convergence","[subj]",NA,TRUE,"SVO active","2022-10-04_22-46-56.240364-b","Non-linear",0.0336079731997516,0.479338842975207,0.5,-0.5,-0.5,0.5,0.5,NA
"295","26","Subject target","perfect passive","Seen","BERT","Don't mask blork","convergence","[subj]",NA,TRUE,"OVS passive","2022-10-04_22-46-56.240364-b","Non-linear",0.0336079731997516,0.0704225352112676,0.5,-0.5,-0.5,-0.5,0.5,NA
